#$Format     "X_Y1-Yn"
#$CAbscissa  "Time"
#$CUnitA     "ms"
#$COrdinate  "Acceleration"
#$CUnitO     "mm/(ms*ms)"
#
#$Legtxt     "[X-Y-Resultant-Acceleration]:B-pillar-sill Left -- Shopping-cart -- 10kmph -Side"
#$Itemid     "10050033"
#$Itemtype   "node"
#
        3.999600E-01        4.565509E-11
        4.999500E-01        7.131073E-10
        5.999399E-01        6.497007E-08
        6.999300E-01        3.548496E-07
        7.999200E-01        2.789776E-06
        8.999099E-01        1.736954E-05
        9.998999E-01        2.316322E-05
        1.099890E+00        6.767475E-05
        1.199880E+00        1.288770E-04
        1.299870E+00        2.307337E-04
        1.399860E+00        3.605247E-04
        1.499850E+00        4.284153E-04
        1.599840E+00        3.929682E-04
        1.699830E+00        2.702350E-04
        1.799820E+00        3.424803E-04
        1.899810E+00        4.774650E-04
        1.999800E+00        3.871689E-04
        2.099790E+00        4.568813E-04
        2.199780E+00        5.790569E-04
        2.299770E+00        6.035268E-04
        2.399760E+00        4.109848E-04
        2.499750E+00        1.236533E-04
        2.599740E+00        3.624061E-04
        2.699730E+00        8.684960E-04
        2.799720E+00        8.226304E-04
        2.899710E+00        9.191884E-04
        2.999700E+00        8.922391E-04
        3.099690E+00        1.052826E-03
        3.199680E+00        7.871491E-04
        3.299670E+00        1.048590E-03
        3.399660E+00        1.275799E-03
        3.499650E+00        1.925786E-03
        3.599640E+00        2.026916E-03
        3.699630E+00        2.215591E-03
        3.799620E+00        1.875483E-03
        3.899610E+00        1.774754E-03
        3.999600E+00        1.264320E-03
        4.099590E+00        1.320870E-03
        4.199580E+00        1.351577E-03
        4.299570E+00        2.310370E-03
        4.399559E+00        3.131593E-03
        4.499550E+00        4.359662E-03
        4.599540E+00        5.791916E-03
        4.699530E+00        7.212263E-03
        4.799520E+00        7.859802E-03
        4.899509E+00        7.915913E-03
        4.999500E+00        6.982514E-03
        5.099490E+00        6.455713E-03
        5.199480E+00        7.383959E-03
        5.299469E+00        8.822211E-03
        5.399460E+00        1.138981E-02
        5.499450E+00        1.308599E-02
        5.599440E+00        1.554249E-02
        5.699430E+00        1.653686E-02
        5.799419E+00        1.593736E-02
        5.899410E+00        1.611246E-02
        5.999400E+00        1.621570E-02
        6.099390E+00        1.581637E-02
        6.199379E+00        1.514374E-02
        6.299369E+00        1.463795E-02
        6.399360E+00        1.394598E-02
        6.499350E+00        1.424249E-02
        6.599339E+00        1.579007E-02
        6.699329E+00        1.536562E-02
        6.799320E+00        1.433549E-02
        6.899310E+00        1.321762E-02
        6.999300E+00        1.169507E-02
        7.099289E+00        1.028474E-02
        7.199279E+00        9.278751E-03
        7.299270E+00        8.929822E-03
        7.399260E+00        1.002337E-02
        7.499249E+00        1.033380E-02
        7.599239E+00        1.099197E-02
        7.699229E+00        1.033616E-02
        7.799220E+00        9.673641E-03
        7.899209E+00        1.052148E-02
        7.999199E+00        1.071197E-02
        8.099190E+00        1.051821E-02
        8.199180E+00        1.000642E-02
        8.299170E+00        1.068365E-02
        8.399159E+00        1.059285E-02
        8.499149E+00        1.033179E-02
        8.599139E+00        1.007578E-02
        8.699129E+00        9.929702E-03
        8.799119E+00        8.684943E-03
        8.899110E+00        8.250657E-03
        8.999100E+00        7.294886E-03
        9.099090E+00        6.308608E-03
        9.199080E+00        4.909049E-03
        9.299069E+00        3.917140E-03
        9.399059E+00        3.519669E-03
        9.499049E+00        4.538565E-03
        9.599039E+00        6.935120E-03
        9.699029E+00        9.611052E-03
        9.799019E+00        9.575875E-03
        9.899010E+00        1.009210E-02
        9.999999E+00        9.548979E-03
        1.009999E+01        8.377826E-03
